标题,详情页url,图片url,类型,关键字,星级,作者
"🙇,Analogy maker ,道歉生成器",https://gpt.candobear.com//prompt/prompt-1001gptgpt/analogy-maker,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2Fcf4d16b0-f38c-49a7-82be-90578e038c7d%2FUntitled.jpeg&w=3840&q=80,文字处理类,职场小作文,★★☆☆☆,howie.serious
"周报生成器、职场写作、报告： ,职场交差类写作",https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E5%91%A8%E6%8A%A5%E7%94%9F%E6%88%90%E5%99%A8%E8%81%8C%E5%9C%BA%E5%86%99%E4%BD%9C%E6%8A%A5%E5%91%8A-%E8%81%8C%E5%9C%BA%E4%BA%A4%E5%B7%AE%E7%B1%BB%E5%86%99%E4%BD%9C,-,文字处理类,-,★★★★☆,howie.serious
"文案优化 ,文案处理：小红书风格",https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E6%96%87%E6%A1%88%E4%BC%98%E5%8C%96-%E6%96%87%E6%A1%88%E5%A4%84%E7%90%86%E5%B0%8F%E7%BA%A2%E4%B9%A6%E9%A3%8E%E6%A0%BC,-,文字处理类,-,★★☆☆☆,howie.serious
"🕶️,创意生成器：VR fitness idea generator",https://gpt.candobear.com//prompt/prompt-1001gptgpt/vr-fitness-idea-generator,-,创意类,创意,★★★☆☆,-
"💡,文案写作：Ad from product description ",https://gpt.candobear.com//prompt/prompt-1001gptgpt/ad-from-product-description,-,创意类,"文案,写作",★★★★☆,-
Product name generator 生成产品名称,https://gpt.candobear.com//prompt/prompt-1001gptgpt/product-name-generator,-,创意类,创意,★★★☆☆,howie.serious
"🧑‍💻,code explainer, 代码解释器",https://gpt.candobear.com//prompt/prompt-1001gptgpt/explain-code-code-explainer,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2Fe1ed48a0-6fcc-4ff3-a3a8-48bba184cc58%2FUntitled.jpeg&w=3840&q=80,coding,学习教练,★★★★★,howie.serious
Python bug fixer 修bug,https://gpt.candobear.com//prompt/prompt-1001gptgpt/python-bug-fixer-bug,-,coding,-,★★★★★,-
JavaScript helper chatbot 编程助手,https://gpt.candobear.com//prompt/prompt-1001gptgpt/javascript-helper-chatbot,-,coding,-,★★★★★,-
ML/AI language model tutor 编程辅导老师,https://gpt.candobear.com//prompt/prompt-1001gptgpt/mlai-language-model-tutor,-,coding,-,★★★★★,-
SQL request 编写SQL查询语句,https://gpt.candobear.com//prompt/prompt-1001gptgpt/sql-request-sql,-,coding,-,★★★★☆,-
JavaScript to Python JS代码翻译为Python,https://gpt.candobear.com//prompt/prompt-1001gptgpt/javascript-to-python-jspython,-,coding,-,★★★★☆,-
Write a Python docstring,https://gpt.candobear.com//prompt/prompt-1001gptgpt/write-a-python-docstring,-,coding,-,★★★★☆,-
JavaScript one line function 将JS代码转化为函数,https://gpt.candobear.com//prompt/prompt-1001gptgpt/javascript-one-line-function-js,-,coding,-,★★★★☆,-
Calculate Time Complexity 计算函数的时间复杂度,https://gpt.candobear.com//prompt/prompt-1001gptgpt/calculate-time-complexity,-,coding,-,★★★★☆,-
Python to natural language 编程语言转自然语言,https://gpt.candobear.com//prompt/prompt-1001gptgpt/python-to-natural-language,-,coding,-,★★★★★,-
